sno ,name,album,release_date,track_number,id,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,duration_ms
1,Tim McGraw,Taylor Swift (Deluxe Edition),24-10-2006,1,2Fn01AIMyHbha2ceNQeOqw,spotify:track:2Fn01AIMyHbha2ceNQeOqw,0.575,0.58,0.491,0,0.121,-6.462,0.0251,76.009,0.425,56,232106
2,Picture To Burn,Taylor Swift (Deluxe Edition),24-10-2006,2,4BYejINgfZF0qKDMEH2cim,spotify:track:4BYejINgfZF0qKDMEH2cim,0.173,0.658,0.877,0,0.0962,-2.098,0.0323,105.586,0.821,61,173066
3,Teardrops On My Guitar - Radio Single Remix,Taylor Swift (Deluxe Edition),24-10-2006,3,2TF4UtYreqNbQ6Z9AccldU,spotify:track:2TF4UtYreqNbQ6Z9AccldU,0.288,0.621,0.417,0,0.119,-6.941,0.0231,99.953,0.289,63,203040
4,A Place in this World,Taylor Swift (Deluxe Edition),24-10-2006,4,1oR4MUBpyNrAViC8wPNpfm,spotify:track:1oR4MUBpyNrAViC8wPNpfm,0.051,0.576,0.777,0,0.32,-2.881,0.0324,115.028,0.428,55,199200
5,Cold As You,Taylor Swift (Deluxe Edition),24-10-2006,5,569sXXQ7t0jSdqHooi2yqs,spotify:track:569sXXQ7t0jSdqHooi2yqs,0.217,0.418,0.482,0,0.123,-5.769,0.0266,175.558,0.261,55,239013
6,The Outside,Taylor Swift (Deluxe Edition),24-10-2006,6,5Tj2MqcFMf60CaGsKbM1aq,spotify:track:5Tj2MqcFMf60CaGsKbM1aq,0.00491,0.589,0.805,0,0.24,-4.055,0.0293,112.982,0.591,54,207106
7,Tied Together with a Smile,Taylor Swift (Deluxe Edition),24-10-2006,7,2zzxwmoOBnXDT0KnJsoIWk,spotify:track:2zzxwmoOBnXDT0KnJsoIWk,0.525,0.479,0.578,0,0.0841,-4.963,0.0294,146.165,0.192,54,248106
8,Stay Beautiful,Taylor Swift (Deluxe Edition),24-10-2006,8,41sjzdjScVwnxnxADElts6,spotify:track:41sjzdjScVwnxnxADElts6,0.0868,0.594,0.629,0,0.137,-4.919,0.0246,131.597,0.504,53,236053
9,Should've Said No,Taylor Swift (Deluxe Edition),24-10-2006,9,6CdaXOq1MWe2JHDalTG01d,spotify:track:6CdaXOq1MWe2JHDalTG01d,0.0103,0.476,0.777,0,0.196,-3.771,0.0289,167.964,0.472,60,242200
10,Mary's Song (Oh My My My),Taylor Swift (Deluxe Edition),24-10-2006,10,2O8sogKJCfVZ4rotBv1vVF,spotify:track:2O8sogKJCfVZ4rotBv1vVF,0.0177,0.403,0.627,0,0.182,-5.28,0.0292,74.9,0.374,57,213080
11,Our Song,Taylor Swift (Deluxe Edition),24-10-2006,11,1j6gmK6u4WNI33lMZ8dC1s,spotify:track:1j6gmK6u4WNI33lMZ8dC1s,0.111,0.668,0.672,0,0.329,-4.931,0.0303,89.011,0.539,64,201106
12,I'm Only Me When I'm With You,Taylor Swift (Deluxe Edition),24-10-2006,12,7CzxXgQXurKZCyHz9ufbo1,spotify:track:7CzxXgQXurKZCyHz9ufbo1,0.00452,0.563,0.934,0.000807,0.103,-3.629,0.0646,143.964,0.518,56,213053
13,Invisible,Taylor Swift (Deluxe Edition),24-10-2006,13,1k3PzDNjg38cWqOvL4M9vq,spotify:track:1k3PzDNjg38cWqOvL4M9vq,0.637,0.612,0.394,0,0.147,-5.723,0.0243,96.001,0.233,54,203226
14,A Perfectly Good Heart,Taylor Swift (Deluxe Edition),24-10-2006,14,0YgHuReCSPwTXYny7isLja,spotify:track:0YgHuReCSPwTXYny7isLja,0.00349,0.483,0.751,0,0.128,-5.726,0.0365,156.092,0.268,53,220146
15,Teardrops on My Guitar - Pop Version,Taylor Swift (Deluxe Edition),24-10-2006,15,1hxLyjC9D9Jpw6EAPKqWv4,spotify:track:1hxLyjC9D9Jpw6EAPKqWv4,0.0402,0.459,0.753,0,0.0863,-3.827,0.0537,199.997,0.483,55,179066
16,Love Story - Live From Clear Channel Stripped 2008,Live From Clear Channel Stripped 2008,28-06-2008,1,4RBKAqJ3qyvvriDG0s9IJ3,spotify:track:4RBKAqJ3qyvvriDG0s9IJ3,0.659,0.741,0.444,0,0.131,-7.031,0.0311,119.006,0.512,35,221028
17,Fearless - Live From Clear Channel Stripped 2008,Live From Clear Channel Stripped 2008,28-06-2008,2,5g7RMU3cV7zXWH244BLe7G,spotify:track:5g7RMU3cV7zXWH244BLe7G,0.814,0.623,0.266,0,0.145,-5.894,0.026,96.601,0.467,35,198247
18,Beautiful Eyes - Live From Clear Channel Stripped 2008,Live From Clear Channel Stripped 2008,28-06-2008,3,4aBW31cmkA7BLColUsMEeZ,spotify:track:4aBW31cmkA7BLColUsMEeZ,0.596,0.627,0.704,0,0.0598,-3.739,0.0269,98.958,0.457,38,176316
19,Untouchable - Live From Clear Channel Stripped 2008,Live From Clear Channel Stripped 2008,28-06-2008,4,4MbHDiHQjhmoVAV75G04Ql,spotify:track:4MbHDiHQjhmoVAV75G04Ql,0.856,0.731,0.184,0,0.0927,-9.235,0.0418,102.404,0.331,32,222959
20,Teardrops On My Guitar - Live From Clear Channel Stripped 2008,Live From Clear Channel Stripped 2008,28-06-2008,5,4DjevQhsPWULcondN4mRh5,spotify:track:4DjevQhsPWULcondN4mRh5,0.664,0.344,0.801,0,0.106,-5.373,0.0574,204.489,0.615,30,196346
21,Picture To Burn - Live From Clear Channel Stripped 2008,Live From Clear Channel Stripped 2008,28-06-2008,6,7EvU9pRoJ9Xs7anx0P7tEc,spotify:track:7EvU9pRoJ9Xs7anx0P7tEc,0.266,0.647,0.872,0,0.419,-1.953,0.0524,105.798,0.684,30,173899
22,Should've Said No - Live From Clear Channel Stripped 2008,Live From Clear Channel Stripped 2008,28-06-2008,7,5a9hUL6ZuiagZhazwrtwHF,spotify:track:5a9hUL6ZuiagZhazwrtwHF,0.399,0.429,0.808,0,0.0884,-3.004,0.0677,171.537,0.438,30,228473
23,Change - Live From Clear Channel Stripped 2008,Live From Clear Channel Stripped 2008,28-06-2008,8,69o9kr9UexjzeZDE8yD8dQ,spotify:track:69o9kr9UexjzeZDE8yD8dQ,0.156,0.243,0.712,0,0.111,-4.307,0.0577,202.319,0.273,28,258487
24,Jump Then Fall,Fearless (Platinum Edition),11-11-2008,1,6WWvcA62QlnRguluWAk6bv,spotify:track:6WWvcA62QlnRguluWAk6bv,0.111,0.618,0.687,0,0.0693,-5.737,0.0271,79.991,0.82,41,237066
25,Untouchable,Fearless (Platinum Edition),11-11-2008,2,6ovFJkdau79DuXEvQjPaNH,spotify:track:6ovFJkdau79DuXEvQjPaNH,0.0583,0.419,0.454,3.78E-06,0.0974,-6.809,0.0335,200.017,0.288,43,311040
26,Forever & Always - Piano Version,Fearless (Platinum Edition),11-11-2008,3,13MAWVUSkbGMUi6I7RowRK,spotify:track:13MAWVUSkbGMUi6I7RowRK,0.852,0.592,0.16,0,0.116,-10.785,0.0347,118.929,0.294,41,267506
27,Come In With The Rain,Fearless (Platinum Edition),11-11-2008,4,0cEG04R5cldkTLzK6phlcn,spotify:track:0cEG04R5cldkTLzK6phlcn,0.0961,0.527,0.461,2.47E-06,0.24,-6.172,0.0256,143.94,0.23,39,238093
28,SuperStar,Fearless (Platinum Edition),11-11-2008,5,0XfTh16YcKPzdxMPTeKTAq,spotify:track:0XfTh16YcKPzdxMPTeKTAq,0.367,0.61,0.531,0,0.351,-6.123,0.0239,85.979,0.228,38,261453
29,The Other Side Of The Door,Fearless (Platinum Edition),11-11-2008,6,1yDJcXc549N6AabNBzFAku,spotify:track:1yDJcXc549N6AabNBzFAku,0.169,0.476,0.816,0,0.238,-4.279,0.0347,163.847,0.469,39,237600
30,Fearless,Fearless (Platinum Edition),11-11-2008,7,6zV8AVM9eVfdG7Qahwd64R,spotify:track:6zV8AVM9eVfdG7Qahwd64R,0.0449,0.593,0.705,0,0.309,-4.43,0.0269,100.11,0.472,36,242373
31,Fifteen,Fearless (Platinum Edition),11-11-2008,8,4yf9OivCH2lmQWN8mzpCC6,spotify:track:4yf9OivCH2lmQWN8mzpCC6,0.072,0.555,0.648,0,0.143,-4.419,0.027,95.431,0.207,32,294306
32,Love Story,Fearless (Platinum Edition),11-11-2008,9,5xPsybHWRHbTYO44xnREY5,spotify:track:5xPsybHWRHbTYO44xnREY5,0.0186,0.62,0.639,0.00011,0.206,-5.398,0.0285,119.055,0.34,46,233933
33,Hey Stephen,Fearless (Platinum Edition),11-11-2008,10,4fWDgRZa0GKE5KZNhE9MQa,spotify:track:4fWDgRZa0GKE5KZNhE9MQa,0.174,0.843,0.543,3.87E-06,0.0968,-7.364,0.0317,116,0.826,30,254680
34,White Horse,Fearless (Platinum Edition),11-11-2008,11,1yFjBRQVhRdcdnrTE5LuyD,spotify:track:1yFjBRQVhRdcdnrTE5LuyD,0.298,0.587,0.342,0,0.106,-8.034,0.0257,92.71,0.212,33,233560
35,You Belong With Me,Fearless (Platinum Edition),11-11-2008,12,7G6TDmGJXDoBaV6NGj3Yic,spotify:track:7G6TDmGJXDoBaV6NGj3Yic,0.151,0.688,0.775,1.98E-05,0.104,-4.436,0.0381,129.969,0.469,45,230506
36,Breathe,Fearless (Platinum Edition),11-11-2008,13,0qsSmObOgBZfuMIwfAQDBP,spotify:track:0qsSmObOgBZfuMIwfAQDBP,0.389,0.488,0.472,0,0.125,-7.39,0.0275,147.926,0.163,31,263720
37,Tell Me Why,Fearless (Platinum Edition),11-11-2008,14,6vLpy7UPYuOa75Bkqocrcw,spotify:track:6vLpy7UPYuOa75Bkqocrcw,0.0611,0.606,0.848,1.99E-06,0.374,-3.058,0.0374,99.999,0.476,27,200213
38,You're Not Sorry,Fearless (Platinum Edition),11-11-2008,15,4N419mmxYybTfAECy5j4dw,spotify:track:4N419mmxYybTfAECy5j4dw,0.145,0.471,0.458,2.39E-06,0.108,-4.137,0.027,133.96,0.309,28,261800
39,The Way I Loved You,Fearless (Platinum Edition),11-11-2008,16,04LDcz3RX1P5sIlzQGqgUN,spotify:track:04LDcz3RX1P5sIlzQGqgUN,0.0315,0.434,0.723,0,0.125,-3.748,0.0335,160.872,0.412,31,244626
40,Forever & Always,Fearless (Platinum Edition),11-11-2008,17,3yuOL0jFnVR8tizZzNNo0F,spotify:track:3yuOL0jFnVR8tizZzNNo0F,0.0788,0.604,0.816,0,0.164,-5.002,0.0537,128,0.55,28,225000
41,The Best Day,Fearless (Platinum Edition),11-11-2008,18,7G9D32Kx7hdQ9Uga1V4VXm,spotify:track:7G9D32Kx7hdQ9Uga1V4VXm,0.648,0.671,0.44,3.04E-06,0.141,-8.561,0.0287,126.059,0.368,26,245266
42,Change,Fearless (Platinum Edition),11-11-2008,19,493jXNrYmXPCMbSJvVRYLk,spotify:track:493jXNrYmXPCMbSJvVRYLk,0.00465,0.545,0.747,0,0.115,-4.231,0.037,96.017,0.214,25,278546
43,Mine - POP Mix,Speak Now (Deluxe Package),01-01-2010,1,0OAHsZ8vrS2NKom3cvfJQD,spotify:track:0OAHsZ8vrS2NKom3cvfJQD,0.00461,0.696,0.768,1.21E-06,0.101,-3.863,0.0308,121.05,0.692,42,230546
44,Sparks Fly,Speak Now (Deluxe Package),01-01-2010,2,09cM9BjyNFizKUOXh6j9rT,spotify:track:09cM9BjyNFizKUOXh6j9rT,0.0387,0.608,0.785,0,0.158,-2.976,0.0311,114.985,0.376,52,260946
45,Back To December,Speak Now (Deluxe Package),01-01-2010,3,0tr6XR58KBdDYd8qvHVTs8,spotify:track:0tr6XR58KBdDYd8qvHVTs8,0.0202,0.517,0.606,0,0.324,-5.797,0.0289,141.929,0.296,63,293040
46,Speak Now,Speak Now (Deluxe Package),01-01-2010,4,2PBghI9zJkQEWBzMSMo2Ki,spotify:track:2PBghI9zJkQEWBzMSMo2Ki,0.101,0.708,0.601,0,0.0979,-3.75,0.0306,118.962,0.742,51,240773
47,Dear John,Speak Now (Deluxe Package),01-01-2010,5,1GeLxMgpeCnMJntwyW6rLw,spotify:track:1GeLxMgpeCnMJntwyW6rLw,0.183,0.583,0.468,1.65E-06,0.111,-5.378,0.0278,119.375,0.126,46,403887
48,Mean,Speak Now (Deluxe Package),01-01-2010,6,6yM6QsnTCTVOkKEvg3hGlo,spotify:track:6yM6QsnTCTVOkKEvg3hGlo,0.445,0.57,0.747,0,0.219,-3.978,0.0426,164.004,0.808,55,237746
49,The Story Of Us,Speak Now (Deluxe Package),01-01-2010,7,7vBlnGdfOLzVEqiOQQxeU8,spotify:track:7vBlnGdfOLzVEqiOQQxeU8,0.000315,0.575,0.855,0.00161,0.0419,-4.827,0.0467,139.92,0.84,40,265636
50,Never Grow Up,Speak Now (Deluxe Package),01-01-2010,8,57w0Uyk2jJAkO2hMJ36xJZ,spotify:track:57w0Uyk2jJAkO2hMJ36xJZ,0.829,0.715,0.308,0,0.16,-8.829,0.0305,124.899,0.547,44,290480
51,Enchanted,Speak Now (Deluxe Package),01-01-2010,9,3sqrvkNC6IPTIXvvbx9Arw,spotify:track:3sqrvkNC6IPTIXvvbx9Arw,0.0716,0.535,0.618,0.000388,0.169,-3.913,0.0273,81.975,0.228,71,352200
52,Better Than Revenge,Speak Now (Deluxe Package),01-01-2010,10,55mh9j2aB7xZ1Oh463gK8k,spotify:track:55mh9j2aB7xZ1Oh463gK8k,0.0167,0.519,0.917,2.06E-05,0.359,-3.185,0.0887,145.882,0.652,54,217173
53,Innocent,Speak Now (Deluxe Package),01-01-2010,11,4LraIz87diVQdDK0rhi0S4,spotify:track:4LraIz87diVQdDK0rhi0S4,0.202,0.553,0.604,0,0.125,-5.295,0.0258,133.989,0.186,40,302266
54,Haunted,Speak Now (Deluxe Package),01-01-2010,12,72idZxdEHLbi2YI486c3sE,spotify:track:72idZxdEHLbi2YI486c3sE,0.0769,0.434,0.944,0,0.151,-2.641,0.0581,162.02,0.361,48,242093
55,Last Kiss,Speak Now (Deluxe Package),01-01-2010,13,1VCJ7vk3Y2DoJIAEOXe3V8,spotify:track:1VCJ7vk3Y2DoJIAEOXe3V8,0.581,0.359,0.329,3.75E-05,0.0979,-9.531,0.0293,84.358,0.208,46,367146
56,Long Live,Speak Now (Deluxe Package),01-01-2010,14,7BFc7ffruhZ4Hecnqf5xju,spotify:track:7BFc7ffruhZ4Hecnqf5xju,0.0426,0.412,0.682,7.47E-05,0.106,-4.319,0.0339,203.959,0.146,46,317960
57,Ours,Speak Now (Deluxe Package),01-01-2010,15,0hK93KD6Y0j9giUGh4Valj,spotify:track:0hK93KD6Y0j9giUGh4Valj,0.505,0.61,0.556,0,0.0851,-7.369,0.0285,159.838,0.192,46,238173
58,If This Was A Movie,Speak Now (Deluxe Package),01-01-2010,16,5tSmAABuoOfR59lrtXdDqm,spotify:track:5tSmAABuoOfR59lrtXdDqm,0.154,0.515,0.724,4.05E-06,0.269,-3.498,0.0267,147.788,0.257,45,234546
59,Superman,Speak Now (Deluxe Package),01-01-2010,17,6aJ0ipi4EPmu1aTbFeXZnw,spotify:track:6aJ0ipi4EPmu1aTbFeXZnw,0.0187,0.582,0.817,1.94E-06,0.101,-3.718,0.0337,131.983,0.547,39,276266
60,Back To December - Acoustic,Speak Now (Deluxe Package),01-01-2010,18,7k7BOXE4u6luKTwcLEAyrd,spotify:track:7k7BOXE4u6luKTwcLEAyrd,0.731,0.541,0.451,0,0.197,-6.522,0.027,141.713,0.333,49,292533
61,Haunted - Acoustic Version,Speak Now (Deluxe Package),01-01-2010,19,6SdBf0ZsJZoKaH5zcDaz9X,spotify:track:6SdBf0ZsJZoKaH5zcDaz9X,0.841,0.574,0.462,0,0.28,-5.124,0.0252,80.858,0.314,44,217626
62,Mine,Speak Now (Deluxe Package),01-01-2010,20,67Io3gxHwfbUreBf114c0u,spotify:track:67Io3gxHwfbUreBf114c0u,0.00327,0.621,0.78,4.55E-06,0.184,-2.934,0.0297,121.038,0.672,57,230773
63,Sparks Fly - Live/2011,Speak Now World Tour Live,25-10-2010,1,1aBJNc2thaKyh5THWzIqHX,spotify:track:1aBJNc2thaKyh5THWzIqHX,0.00917,0.455,0.783,0,0.918,-5.184,0.0393,114.981,0.298,42,336826
64,Mine - Live/2011,Speak Now World Tour Live,25-10-2010,2,7yndkPYP6YQQLBpPsizDfh,spotify:track:7yndkPYP6YQQLBpPsizDfh,0.00233,0.496,0.852,0,0.554,-4.775,0.0373,120.969,0.442,40,259279
65,The Story Of Us - Live,Speak Now World Tour Live,25-10-2010,3,72GIZuUXo14oyrS0si3Rgc,spotify:track:72GIZuUXo14oyrS0si3Rgc,0.00048,0.419,0.908,0,0.815,-5.156,0.0651,139.813,0.472,40,290520
66,Mean - Live/2011,Speak Now World Tour Live,25-10-2010,4,7mFiEij8AXPUZB7aKLbUlQ,spotify:track:7mFiEij8AXPUZB7aKLbUlQ,0.154,0.429,0.915,0,0.693,-4.373,0.069,163.752,0.432,40,246373
67,Ours - Live/2011,Speak Now World Tour Live,25-10-2010,5,68QyrSzpnoU04AAhE5z8lj,spotify:track:68QyrSzpnoU04AAhE5z8lj,0.715,0.421,0.355,0,0.867,-10.21,0.0298,77.769,0.267,39,245973
68,Back To December/Apologize/You're Not Sorry - Live/2011/Medley,Speak Now World Tour Live,25-10-2010,6,1IsquhJFJ0qcFZI7FeAEuN,spotify:track:1IsquhJFJ0qcFZI7FeAEuN,0.155,0.374,0.516,0,0.795,-8.745,0.0294,142.057,0.171,47,362826
69,Better Than Revenge - Live/2011,Speak Now World Tour Live,25-10-2010,7,6505MLhnqTDDg4tjoUz2Wp,spotify:track:6505MLhnqTDDg4tjoUz2Wp,0.00306,0.445,0.887,2.67E-05,0.931,-5.629,0.0768,145.954,0.386,41,344573
70,Speak Now - Live/2011,Speak Now World Tour Live,25-10-2010,8,3QFB14MOUf3imlyISNmrbT,spotify:track:3QFB14MOUf3imlyISNmrbT,0.0636,0.615,0.694,1.28E-06,0.83,-5.251,0.0318,118.876,0.373,40,248146
71,Last Kiss - Live/2011,Speak Now World Tour Live,25-10-2010,9,6hH37tyeRdyan1mAppmVor,spotify:track:6hH37tyeRdyan1mAppmVor,0.205,0.427,0.395,8.73E-06,0.701,-12.551,0.0291,79.517,0.188,40,369066
72,Drops Of Jupiter - Live/2011,Speak Now World Tour Live,25-10-2010,10,0BSmbCIY36iw04azzJ3S0S,spotify:track:0BSmbCIY36iw04azzJ3S0S,0.806,0.374,0.504,0,0.76,-8.407,0.0392,109.025,0.27,46,315173
73,Bette Davis Eyes - Live/2011,Speak Now World Tour Live,25-10-2010,11,6KF9xd2hBLuexrmBX4vUWD,spotify:track:6KF9xd2hBLuexrmBX4vUWD,0.713,0.327,0.488,0,0.837,-9.287,0.0322,104.46,0.363,42,189146
74,I Want You Back - Live/2011,Speak Now World Tour Live,25-10-2010,12,4KB3zBArZ1rHRExilzycaV,spotify:track:4KB3zBArZ1rHRExilzycaV,0.794,0.536,0.512,0.000122,0.497,-6.794,0.0341,97.397,0.249,40,83253
75,Dear John - Live/2011,Speak Now World Tour Live,25-10-2010,13,4DbI1rr4IQ2bc8nejy9ttd,spotify:track:4DbI1rr4IQ2bc8nejy9ttd,0.0157,0.521,0.386,0,0.884,-8.784,0.0301,119.518,0.138,40,404680
76,Enchanted - Live/2011,Speak Now World Tour Live,25-10-2010,14,3lm4L3pPL32PFy74dR17OR,spotify:track:3lm4L3pPL32PFy74dR17OR,0.0747,0.34,0.663,2.34E-06,0.563,-5.597,0.0331,163.678,0.214,42,389213
77,Haunted - Live/2011,Speak Now World Tour Live,25-10-2010,15,6znB7YZhMJT2B83zfbiyLq,spotify:track:6znB7YZhMJT2B83zfbiyLq,0.0245,0.338,0.818,0,0.889,-7.495,0.0496,162.157,0.177,41,292426
78,Long Live - Live/2011,Speak Now World Tour Live,25-10-2010,16,5QkzyLUb4ggojNDp8G2OxX,spotify:track:5QkzyLUb4ggojNDp8G2OxX,0.0053,0.544,0.728,0,0.865,-5.838,0.0282,101.939,0.204,41,376466
79,State Of Grace,Red,22-10-2012,1,786NsUYn4GGUf8AOt0SQhP,spotify:track:786NsUYn4GGUf8AOt0SQhP,0.000197,0.588,0.825,0.00138,0.0885,-5.882,0.0328,129.968,0.397,40,295186
80,Red,Red,22-10-2012,2,0cITLOYn1Sv4q27zZPqlNK,spotify:track:0cITLOYn1Sv4q27zZPqlNK,0.0773,0.602,0.896,8.87E-05,0.091,-4.267,0.0437,124.978,0.641,58,220826
81,Treacherous,Red,22-10-2012,3,5kYFVSQoPu7yRpfiHBwMUk,spotify:track:5kYFVSQoPu7yRpfiHBwMUk,0.101,0.705,0.621,4.30E-06,0.147,-8.086,0.0334,109.993,0.395,38,240773
82,I Knew You Were Trouble.,Red,22-10-2012,4,72jCZdH0Lhg93z6Z4hBjgj,spotify:track:72jCZdH0Lhg93z6Z4hBjgj,0.00454,0.622,0.469,2.25E-06,0.0398,-6.798,0.0363,77.019,0.679,61,217973
83,All Too Well,Red,22-10-2012,5,4XMP3zVxrnr58T0tjIHvpR,spotify:track:4XMP3zVxrnr58T0tjIHvpR,0.0382,0.602,0.609,0.0002,0.127,-7.803,0.0243,93.06,0.337,44,327893
84,22,Red,22-10-2012,6,2ULNeSomDxVNmdDy8VxEBU,spotify:track:2ULNeSomDxVNmdDy8VxEBU,0.00215,0.658,0.729,0.0013,0.0752,-6.561,0.0378,104.007,0.668,53,230133
85,I Almost Do,Red,22-10-2012,7,5VwFkx7JOimOGTYfha5rs1,spotify:track:5VwFkx7JOimOGTYfha5rs1,0.0173,0.567,0.481,4.13E-05,0.182,-7.357,0.027,145.865,0.233,39,242573
86,We Are Never Ever Getting Back Together,Red,22-10-2012,8,7AEAGTc8cReDqcbPoY9gwo,spotify:track:7AEAGTc8cReDqcbPoY9gwo,0.00957,0.628,0.676,2.65E-05,0.102,-5.911,0.0916,85.984,0.75,59,191880
87,Stay Stay Stay,Red,22-10-2012,9,1qLeEu4iXEclkLwoBlMiou,spotify:track:1qLeEu4iXEclkLwoBlMiou,0.307,0.729,0.748,1.29E-06,0.09,-6.67,0.0245,99.981,0.928,39,204826
88,The Last Time,Red,22-10-2012,10,3n9mzjgAzjyKawvbHzciXF,spotify:track:3n9mzjgAzjyKawvbHzciXF,0.035,0.505,0.443,3.15E-06,0.0921,-7.039,0.0276,94.069,0.123,38,298293
89,Holy Ground,Red,22-10-2012,11,1fGsZsIkQkOspfsT24nQP6,spotify:track:1fGsZsIkQkOspfsT24nQP6,0.0162,0.627,0.816,0.00208,0.0966,-6.698,0.0774,157.043,0.648,37,201853
90,Sad Beautiful Tragic,Red,22-10-2012,12,6LKjHhOW1az75pCQ9XJJtF,spotify:track:6LKjHhOW1az75pCQ9XJJtF,0.632,0.624,0.34,0.0337,0.121,-12.411,0.029,129.987,0.261,35,283680
91,The Lucky One,Red,22-10-2012,13,2X2J0BhxaLTmnxO4pPUhSd,spotify:track:2X2J0BhxaLTmnxO4pPUhSd,0.0371,0.706,0.499,0,0.132,-7.675,0.0369,117.937,0.545,36,240133
