sno ,name,album,release_date,track_number,id,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,duration_ms
271,Sweet Nothing,Midnights,21-10-2022,12,0wavGRldH0AWyu2zvTz8zb,spotify:track:0wavGRldH0AWyu2zvTz8zb,0.968,0.336,0.161,0.00011,0.115,-14.973,0.0456,176.48,0.407,69,188496
272,Mastermind,Midnights,21-10-2022,13,7FmYn9e7KHMXcxqGSj9LjH,spotify:track:7FmYn9e7KHMXcxqGSj9LjH,0.565,0.66,0.343,0.00134,0.0922,-14.132,0.14,125.96,0.137,72,191039
273,The Great War,Midnights (3am Edition),22-10-2022,14,3UMrglJeju5yWyYIW6o99b,spotify:track:3UMrglJeju5yWyYIW6o99b,0.199,0.57,0.747,2.32E-05,0.0854,-8.93,0.0342,96.016,0.574,69,240355
274,Bigger Than The Whole Sky,Midnights (3am Edition),22-10-2022,15,0BiqmkasE5FdrChwKfVp8X,spotify:track:0BiqmkasE5FdrChwKfVp8X,0.841,0.42,0.22,0.00131,0.114,-12.584,0.0472,165.564,0.0705,66,218502
275,Paris,Midnights (3am Edition),22-10-2022,16,7712gjoih4QoDbXpljEk21,spotify:track:7712gjoih4QoDbXpljEk21,0.103,0.703,0.518,2.89E-05,0.148,-10.501,0.085,110.94,0.347,66,196258
276,High Infidelity,Midnights (3am Edition),22-10-2022,17,5kiZGSxgqPdv6rbqL9THdd,spotify:track:5kiZGSxgqPdv6rbqL9THdd,0.704,0.571,0.547,0,0.0877,-10.141,0.101,175.933,0.768,64,231475
277,Glitch,Midnights (3am Edition),22-10-2022,18,6wAFvJPpTZVirBKGZ4EnMW,spotify:track:6wAFvJPpTZVirBKGZ4EnMW,0.314,0.677,0.47,0,0.11,-9.65,0.259,140.881,0.347,63,148781
278,"Would've, Could've, Should've",Midnights (3am Edition),22-10-2022,19,0aV5uARAknQgYhBaK944FP,spotify:track:0aV5uARAknQgYhBaK944FP,0.393,0.485,0.846,0.00115,0.124,-6.557,0.117,157.918,0.548,68,260361
279,Dear Reader,Midnights (3am Edition),22-10-2022,20,3QF5RsWzK1lCvf2o2cY65P,spotify:track:3QF5RsWzK1lCvf2o2cY65P,0.464,0.674,0.39,0.00122,0.116,-11.944,0.0483,107.891,0.151,64,225194
280,Hits Different,Midnights (The Til Dawn Edition),26-05-2023,21,3xYJScVfxByb61dYHTwiby,spotify:track:3xYJScVfxByb61dYHTwiby,0.134,0.666,0.786,3.34E-06,0.265,-6.556,0.0439,106.02,0.261,72,234466
281,Snow On The Beach (feat. More Lana Del Rey),Midnights (The Til Dawn Edition),26-05-2023,22,4zmKGsrXjLmljb5fTaBTot,spotify:track:4zmKGsrXjLmljb5fTaBTot,0.797,0.664,0.399,3.13E-06,0.105,-10.997,0.0349,109.937,0.265,73,229942
282,Karma (feat. Ice Spice),Midnights (The Til Dawn Edition),26-05-2023,23,4i6cwNY6oIUU2XZxPIw82Y,spotify:track:4i6cwNY6oIUU2XZxPIw82Y,0.0574,0.615,0.626,0,0.596,-6.548,0.0778,89.984,0.0705,64,201493
283,Mine (Taylor's Version),Speak Now (Taylor's Version),07-07-2023,1,7G0gBu6nLdhFDPRLc0HdDG,spotify:track:7G0gBu6nLdhFDPRLc0HdDG,0.00314,0.647,0.793,1.93E-06,0.174,-2.903,0.0363,121.101,0.5,74,231706
284,Sparks Fly (Taylor's Version),Speak Now (Taylor's Version),07-07-2023,2,3MytWN8L7shNYzGl4tAKRp,spotify:track:3MytWN8L7shNYzGl4tAKRp,0.0241,0.605,0.769,0,0.0936,-2.413,0.032,114.921,0.366,72,261230
285,Back To December (Taylor's Version),Speak Now (Taylor's Version),07-07-2023,3,79uDOz0zuuWS7HWxzMmTa2,spotify:track:79uDOz0zuuWS7HWxzMmTa2,0.00705,0.486,0.635,0,0.119,-3.994,0.0278,141.868,0.235,74,294189
286,Speak Now (Taylor's Version),Speak Now (Taylor's Version),07-07-2023,4,5xXqyjLicvEpch72qEryFT,spotify:track:5xXqyjLicvEpch72qEryFT,0.225,0.734,0.686,0,0.136,-2.926,0.0349,119.002,0.598,69,242473
287,Dear John (Taylor's Version),Speak Now (Taylor's Version),07-07-2023,5,1zU8j1x3yi9xalMF96pzKp,spotify:track:1zU8j1x3yi9xalMF96pzKp,0.0327,0.379,0.468,0,0.158,-5.07,0.0298,119.447,0.115,69,405906
288,Mean (Taylor's Version),Speak Now (Taylor's Version),07-07-2023,6,30Y4CV7A6YqtQtTTo7Ue4j,spotify:track:30Y4CV7A6YqtQtTTo7Ue4j,0.321,0.526,0.7,0,0.213,-3.95,0.0392,163.949,0.596,69,238693
289,The Story Of Us (Taylor's Version),Speak Now (Taylor's Version),07-07-2023,7,6dTA6y0C2ReQklntzZl8l3,spotify:track:6dTA6y0C2ReQklntzZl8l3,0.00136,0.516,0.784,0,0.0499,-2.636,0.0563,139.787,0.552,70,267653
290,Never Grow Up (Taylor's Version),Speak Now (Taylor's Version),07-07-2023,8,2EFZ9emtKWEglWUQGEQ3P9,spotify:track:2EFZ9emtKWEglWUQGEQ3P9,0.867,0.684,0.339,0,0.194,-7.259,0.029,125.054,0.572,65,292920
291,Enchanted (Taylor's Version),Speak Now (Taylor's Version),07-07-2023,9,3sW3oSbzsfecv9XoUdGs7h,spotify:track:3sW3oSbzsfecv9XoUdGs7h,0.016,0.52,0.553,0,0.165,-3.546,0.0269,81.949,0.227,80,353253
292,Better Than Revenge (Taylor's Version),Speak Now (Taylor's Version),07-07-2023,10,0NwGC0v03ysCYINtg6ns58,spotify:track:0NwGC0v03ysCYINtg6ns58,0.000795,0.505,0.893,0,0.178,-3.013,0.0771,145.913,0.659,71,220306
293,Innocent (Taylor's Version),Speak Now (Taylor's Version),07-07-2023,11,12nBPF4Rh4XLFJV0YLN7uj,spotify:track:12nBPF4Rh4XLFJV0YLN7uj,0.0972,0.524,0.611,0,0.127,-5.298,0.0297,133.583,0.126,63,301221
294,Haunted (Taylor's Version),Speak Now (Taylor's Version),07-07-2023,12,4tMzIAFTFdqGBQLdfbPces,spotify:track:4tMzIAFTFdqGBQLdfbPces,0.00552,0.44,0.916,0,0.252,-1.927,0.0629,162.025,0.371,69,245413
295,Last Kiss (Taylor's Version),Speak Now (Taylor's Version),07-07-2023,13,59KOoHFcw5XfICnO57holu,spotify:track:59KOoHFcw5XfICnO57holu,0.443,0.557,0.362,3.57E-06,0.1,-8.641,0.0263,79.573,0.187,69,369120
296,Long Live (Taylor's Version),Speak Now (Taylor's Version),07-07-2023,14,4hqJ4bSlYJOXb6Z4SRmzxs,spotify:track:4hqJ4bSlYJOXb6Z4SRmzxs,0.0162,0.38,0.628,0,0.227,-4.054,0.038,203.826,0.0984,73,317960
297,Ours (Taylor's Version),Speak Now (Taylor's Version),07-07-2023,15,3yNJkriPzWjkkDAWHIAVUq,spotify:track:3yNJkriPzWjkkDAWHIAVUq,0.42,0.539,0.475,0,0.109,-8.411,0.0287,159.824,0.293,66,235803
298,Superman (Taylor's Version),Speak Now (Taylor's Version),07-07-2023,16,4evLyY5Ue1Wesc61t2KXAU,spotify:track:4evLyY5Ue1Wesc61t2KXAU,0.00207,0.537,0.733,0,0.11,-3.506,0.0302,131.898,0.347,62,274945
299,Electric Touch (feat. Fall Out Boy) (Taylor's Version) (From The Vault),Speak Now (Taylor's Version),07-07-2023,17,4e3ZNTAV6PCrdYMUrUlMpQ,spotify:track:4e3ZNTAV6PCrdYMUrUlMpQ,0.018,0.547,0.854,0,0.156,-4.753,0.0526,131.068,0.26,68,266466
300,When Emma Falls in Love (Taylor's Version) (From The Vault),Speak Now (Taylor's Version),07-07-2023,18,0zo975x58DlXbZllWvfYhg,spotify:track:0zo975x58DlXbZllWvfYhg,0.168,0.524,0.759,0,0.104,-4.714,0.0471,77.879,0.234,66,252385
301,I Can See You (Taylor's Version) (From The Vault),Speak Now (Taylor's Version),07-07-2023,19,5kHMfzgLZP95O9NBy0ku4v,spotify:track:5kHMfzgLZP95O9NBy0ku4v,0.0577,0.695,0.768,0,0.0426,-4.883,0.0344,123.054,0.813,75,273186
302,Castles Crumbling (feat. Hayley Williams) (Taylor's Version) (From The Vault),Speak Now (Taylor's Version),07-07-2023,20,4ABYxlb92WBIjHu7TIKmml,spotify:track:4ABYxlb92WBIjHu7TIKmml,0.342,0.578,0.565,0,0.0662,-8.064,0.0441,147.781,0.351,67,306062
303,Foolish One (Taylor's Version) (From The Vault),Speak Now (Taylor's Version),07-07-2023,21,4s8BIKx4Zh6ryAEz8RTlaU,spotify:track:4s8BIKx4Zh6ryAEz8RTlaU,0.599,0.672,0.613,0,0.112,-4.709,0.0298,97.041,0.557,68,311765
304,Timeless (Taylor's Version) (From The Vault),Speak Now (Taylor's Version),07-07-2023,22,1HCdems7PQZRj42QDWLA0A,spotify:track:1HCdems7PQZRj42QDWLA0A,0.332,0.629,0.578,0,0.0868,-5.806,0.0319,142.887,0.651,69,321396
305,Welcome To New York (Taylor's Version),1989 (Taylor's Version),26-10-2023,1,1hR8BSuEqPCCZfv93zzzz9,spotify:track:1hR8BSuEqPCCZfv93zzzz9,0.00661,0.76,0.602,0.000133,0.325,-4.871,0.0316,116.989,0.685,71,212600
306,Blank Space (Taylor's Version),1989 (Taylor's Version),26-10-2023,2,45wMBGri1PORPjM9PwFfrS,spotify:track:45wMBGri1PORPjM9PwFfrS,0.0901,0.732,0.719,0,0.331,-5.469,0.0645,96.035,0.71,80,231833
307,Style (Taylor's Version),1989 (Taylor's Version),26-10-2023,3,1hjRhYpWyqDpPahmSlUTlc,spotify:track:1hjRhYpWyqDpPahmSlUTlc,0.000456,0.514,0.821,0.0232,0.0946,-4.803,0.0444,94.884,0.298,79,231000
308,Out Of The Woods (Taylor's Version),1989 (Taylor's Version),26-10-2023,4,045ZeOHPIzhxxsm8bq5kyE,spotify:track:045ZeOHPIzhxxsm8bq5kyE,0.000466,0.544,0.884,0.000134,0.381,-5.973,0.0383,91.981,0.184,73,235800
309,All You Had To Do Was Stay (Taylor's Version),1989 (Taylor's Version),26-10-2023,5,6GXgd1BPD9bUpqw5AntGV5,spotify:track:6GXgd1BPD9bUpqw5AntGV5,0.000778,0.589,0.713,0,0.188,-5.614,0.0308,97.069,0.54,69,193289
310,Shake It Off (Taylor's Version),1989 (Taylor's Version),26-10-2023,6,3pv7Q5v2dpdefwdWIvE7yH,spotify:track:3pv7Q5v2dpdefwdWIvE7yH,0.0112,0.632,0.805,2.51E-05,0.156,-5.707,0.069,160.052,0.903,75,219209
311,I Wish You Would (Taylor's Version),1989 (Taylor's Version),26-10-2023,7,43y1WpBdnEy5TR9aZoSQL9,spotify:track:43y1WpBdnEy5TR9aZoSQL9,0.00388,0.671,0.853,9.48E-06,0.0812,-6.568,0.0417,118.032,0.523,68,207650
312,Bad Blood (Taylor's Version),1989 (Taylor's Version),26-10-2023,8,64FzgoLZ3oXu2SriZblHic,spotify:track:64FzgoLZ3oXu2SriZblHic,0.0369,0.624,0.711,3.13E-06,0.19,-6.347,0.159,169.999,0.347,71,211103
313,Wildest Dreams (Taylor's Version),1989 (Taylor's Version),26-10-2023,9,1K39ty6o1sHwwlZwO6a7wK,spotify:track:1K39ty6o1sHwwlZwO6a7wK,0.0348,0.587,0.663,9.95E-05,0.0971,-7.439,0.0598,139.993,0.539,77,220433
314,How You Get The Girl (Taylor's Version),1989 (Taylor's Version),26-10-2023,10,75W3SngKzTuoQ94uLf3y82,spotify:track:75W3SngKzTuoQ94uLf3y82,0.00198,0.761,0.67,1.08E-05,0.0873,-5.956,0.0537,120.014,0.519,67,247533
315,This Love (Taylor's Version),1989 (Taylor's Version),26-10-2023,11,5QVVjX0ZItqlVpEuVCM9Yg,spotify:track:5QVVjX0ZItqlVpEuVCM9Yg,0.302,0.47,0.494,0,0.0672,-8.672,0.0349,144.039,0.0524,67,250100
316,I Know Places (Taylor's Version),1989 (Taylor's Version),26-10-2023,12,2f0GI2ZLUtbGqFx8t2Gk6A,spotify:track:2f0GI2ZLUtbGqFx8t2Gk6A,0.0846,0.572,0.807,0,0.071,-5.348,0.0574,160.015,0.626,66,195700
317,Clean (Taylor's Version),1989 (Taylor's Version),26-10-2023,13,2ByBBvpR9b7IynvRmnG7kG,spotify:track:2ByBBvpR9b7IynvRmnG7kG,0.297,0.782,0.379,2.98E-05,0.103,-8.964,0.0303,103.99,0.267,70,271000
318,Wonderland (Taylor's Version),1989 (Taylor's Version),26-10-2023,14,2ve0kuaWUCt4Zx8x4bf1MR,spotify:track:2ve0kuaWUCt4Zx8x4bf1MR,0.0105,0.387,0.703,1.10E-05,0.128,-5.956,0.0545,123.18,0.32,67,245566
319,You Are In Love (Taylor's Version),1989 (Taylor's Version),26-10-2023,15,4UwqOWDpdeIDVQDuKT6iza,spotify:track:4UwqOWDpdeIDVQDuKT6iza,0.572,0.554,0.509,2.08E-06,0.113,-9.403,0.0455,85.079,0.401,69,267389
320,New Romantics (Taylor's Version),1989 (Taylor's Version),26-10-2023,16,2vPMoMDXxu9uX1igWZmXSG,spotify:track:2vPMoMDXxu9uX1igWZmXSG,0.00516,0.653,0.848,4.24E-06,0.0798,-5.936,0.0583,122.017,0.724,74,230177
321,"""Slut!"" (Taylor's Version) (From The Vault)",1989 (Taylor's Version),26-10-2023,17,71BqAINEnezjQfxE4VuJfq,spotify:track:71BqAINEnezjQfxE4VuJfq,0.33,0.621,0.415,0.000112,0.0634,-13.187,0.0543,77.978,0.313,77,180381
322,Say Don't Go (Taylor's Version) (From The Vault),1989 (Taylor's Version),26-10-2023,18,4NioO5R9sHEZh4cGzMHyNt,spotify:track:4NioO5R9sHEZh4cGzMHyNt,0.0684,0.632,0.539,5.82E-06,0.132,-8.375,0.0342,109.962,0.186,73,279833
323,Now That We Don't Talk (Taylor's Version) (From The Vault),1989 (Taylor's Version),26-10-2023,19,5KD6AEm19QnMbfWpfoOHMl,spotify:track:5KD6AEm19QnMbfWpfoOHMl,0.16,0.8,0.509,3.05E-05,0.0834,-9.386,0.034,109.994,0.0768,77,146436
324,Suburban Legends (Taylor's Version) (From The Vault),1989 (Taylor's Version),26-10-2023,20,6T0sEnqjmHISIKwFETeeiP,spotify:track:6T0sEnqjmHISIKwFETeeiP,0.212,0.695,0.607,0,0.102,-8.84,0.0357,118.043,0.394,68,171818
325,Is It Over Now? (Taylor's Version) (From The Vault),1989 (Taylor's Version),26-10-2023,21,1Iq8oo9XkmmvCQiGOfORiz,spotify:track:1Iq8oo9XkmmvCQiGOfORiz,0.0486,0.599,0.651,0,0.126,-7.343,0.035,100.001,0.153,78,229477
326,Bad Blood (feat. Kendrick Lamar) (Taylor's Version),1989 (Taylor's Version) [Deluxe],27-10-2023,22,6qAcApH8obo8eqatCKUHd9,spotify:track:6qAcApH8obo8eqatCKUHd9,0.0143,0.604,0.644,0,0.237,-6.931,0.0889,170.088,0.197,74,199773
327,Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT,18-04-2024,1,2OzhQlSqBEmt7hmkYxfT6m,spotify:track:2OzhQlSqBEmt7hmkYxfT6m,0.502,0.504,0.386,1.53E-05,0.0961,-10.976,0.0308,192.004,0.281,91,228965
328,The Tortured Poets Department,THE TORTURED POETS DEPARTMENT,18-04-2024,2,3NMrVbIVWT3fPXBj0rNDKG,spotify:track:3NMrVbIVWT3fPXBj0rNDKG,0.0483,0.604,0.428,0,0.126,-8.441,0.0255,110.259,0.292,75,293048
329,My Boy Only Breaks His Favorite Toys,THE TORTURED POETS DEPARTMENT,18-04-2024,3,2XXwLdtuAcE0HSCu61ijAb,spotify:track:2XXwLdtuAcE0HSCu61ijAb,0.137,0.596,0.563,0,0.302,-7.362,0.0269,97.073,0.481,77,203801
330,Down Bad,THE TORTURED POETS DEPARTMENT,18-04-2024,4,2F3N9tdombb64aW6VtZOdo,spotify:track:2F3N9tdombb64aW6VtZOdo,0.56,0.541,0.366,1.00E-06,0.0946,-10.412,0.0748,159.707,0.168,82,261228
331,"So Long, London",THE TORTURED POETS DEPARTMENT,18-04-2024,5,3Vevii7qKqrmW8CcyzBHDl,spotify:track:3Vevii7qKqrmW8CcyzBHDl,0.73,0.423,0.533,0.00264,0.0816,-11.388,0.322,160.218,0.248,78,262974
332,But Daddy I Love Him,THE TORTURED POETS DEPARTMENT,18-04-2024,6,5og4Qzt92jJzVDkOtSEilb,spotify:track:5og4Qzt92jJzVDkOtSEilb,0.384,0.521,0.72,0,0.135,-7.684,0.104,79.943,0.438,78,340428
333,Fresh Out The Slammer,THE TORTURED POETS DEPARTMENT,18-04-2024,7,3fO566xJgwxIa3qGCGBvIC,spotify:track:3fO566xJgwxIa3qGCGBvIC,0.624,0.33,0.483,0,0.111,-9.394,0.0399,87.115,0.34,69,210789
334,Florida!!! (feat. Florence + The Machine),THE TORTURED POETS DEPARTMENT,18-04-2024,8,3ZVFcD8Wlw9T9klGqmJf9F,spotify:track:3ZVFcD8Wlw9T9klGqmJf9F,0.178,0.533,0.573,0,0.309,-7.123,0.138,150.088,0.398,76,215463
335,Guilty as Sin?,THE TORTURED POETS DEPARTMENT,18-04-2024,9,0W0iAC1VGlB82PI6elxFYf,spotify:track:0W0iAC1VGlB82PI6elxFYf,0.607,0.626,0.428,0,0.0921,-8.374,0.0261,94.95,0.487,82,254365
336,Who's Afraid of Little Old Me?,THE TORTURED POETS DEPARTMENT,18-04-2024,10,36t6frENUtCYKuZus6aYDO,spotify:track:36t6frENUtCYKuZus6aYDO,0.315,0.606,0.338,0,0.106,-10.555,0.048,119.88,0.238,80,334084
337,I Can Fix Him (No Really I Can),THE TORTURED POETS DEPARTMENT,18-04-2024,11,2h3MDMf8sd9s4XIzpTBIjX,spotify:track:2h3MDMf8sd9s4XIzpTBIjX,0.768,0.661,0.257,1.72E-06,0.176,-13.961,0.045,106.896,0.318,67,156297
338,loml,THE TORTURED POETS DEPARTMENT,18-04-2024,12,6RSG1dKPV5gEvILwJb4QtS,spotify:track:6RSG1dKPV5gEvILwJb4QtS,0.858,0.423,0.272,0,0.108,-12.56,0.0489,78.539,0.195,75,277156
339,I Can Do It With a Broken Heart,THE TORTURED POETS DEPARTMENT,18-04-2024,13,4q5YezDOIPcoLr8R81x9qy,spotify:track:4q5YezDOIPcoLr8R81x9qy,0.123,0.701,0.751,0,0.15,-8.39,0.0502,129.994,0.22,88,218004
340,The Smallest Man Who Ever Lived,THE TORTURED POETS DEPARTMENT,18-04-2024,14,2v1ivOOsgn64g5OywuH55L,spotify:track:2v1ivOOsgn64g5OywuH55L,0.52,0.426,0.41,0,0.338,-9.083,0.0581,142.377,0.263,74,245541
341,The Alchemy,THE TORTURED POETS DEPARTMENT,18-04-2024,15,1dhMTsEZz6ZEquGvmzVoHn,spotify:track:1dhMTsEZz6ZEquGvmzVoHn,0.422,0.64,0.421,0,0.103,-8.802,0.0273,100.056,0.353,73,196900
342,Clara Bow,THE TORTURED POETS DEPARTMENT,18-04-2024,16,1UlhrRvYzbHEyugEDspXUB,spotify:track:1UlhrRvYzbHEyugEDspXUB,0.636,0.686,0.318,0.00144,0.106,-11.046,0.0263,104.088,0.214,67,216662
343,The Black Dog,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,19-04-2024,17,62E2nR0od0M5HYxuYLaDz7,spotify:track:62E2nR0od0M5HYxuYLaDz7,0.707,0.527,0.27,0,0.102,-10.855,0.038,154.042,0.23,79,238857
344,imgonnagetyouback,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,19-04-2024,18,1kcwpPDQnqEqmezzXdJTCP,spotify:track:1kcwpPDQnqEqmezzXdJTCP,0.608,0.784,0.391,0,0.252,-9.471,0.0633,110.007,0.15,81,222072
345,The Albatross,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,19-04-2024,19,4EF6IyONolQy0bIQXm2EmX,spotify:track:4EF6IyONolQy0bIQXm2EmX,0.655,0.352,0.479,0,0.0935,-8.942,0.0583,172.013,0.292,77,183878
346,Chloe or Sam or Sophia or Marcus,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,19-04-2024,20,1rmEsOezwf2lmIZTMAO5Ag,spotify:track:1rmEsOezwf2lmIZTMAO5Ag,0.78,0.516,0.451,0,0.105,-8.552,0.0446,70.266,0.218,77,213281
347,How Did It End?,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,19-04-2024,21,5Bedn0svl0ZD7RGmJkmKKw,spotify:track:5Bedn0svl0ZD7RGmJkmKKw,0.785,0.492,0.379,0.00093,0.108,-8.859,0.0257,83.993,0.273,80,238706
348,So High School,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,19-04-2024,22,7Mts0OfPorF4iwOomvfqn1,spotify:track:7Mts0OfPorF4iwOomvfqn1,0.0274,0.366,0.866,3.07E-06,0.106,-4.514,0.0466,176.07,0.293,82,228800
349,I Hate It Here,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,19-04-2024,23,3hlGuz3loYoLfI3bpwieWq,spotify:track:3hlGuz3loYoLfI3bpwieWq,0.717,0.485,0.562,0,0.357,-7.197,0.0346,105.953,0.297,78,243875
350,thanK you aIMee,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,19-04-2024,24,7ogK4lJDVDMU6A6vYR5rvD,spotify:track:7ogK4lJDVDMU6A6vYR5rvD,0.609,0.609,0.541,0,0.122,-8.013,0.0346,95.997,0.252,76,263817
351,I Look in People's Windows,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,19-04-2024,25,1Zai5UJ2di3qEuR2HeT2s8,spotify:track:1Zai5UJ2di3qEuR2HeT2s8,0.69,0.763,0.274,0,0.164,-11.429,0.0738,90.796,0.385,76,131907
352,The Prophecy,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,19-04-2024,26,18WFFUIsewmA8g31KAeo3e,spotify:track:18WFFUIsewmA8g31KAeo3e,0.825,0.421,0.525,2.67E-06,0.308,-10.359,0.0472,167.927,0.535,81,249807
353,Cassandra,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,19-04-2024,27,0g4fMVo4JjwnIpTfFfLdxS,spotify:track:0g4fMVo4JjwnIpTfFfLdxS,0.806,0.587,0.587,0,0.137,-9.879,0.0595,139.963,0.514,76,240205
354,Peter,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,19-04-2024,28,3zMDGj4D8ogaYgAIZPeU7S,spotify:track:3zMDGj4D8ogaYgAIZPeU7S,0.805,0.342,0.376,0,0.0593,-8.212,0.0372,176.859,0.29,77,283957
355,The Bolter,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,19-04-2024,29,2913xXOVAIDAqxzV2g4VcU,spotify:track:2913xXOVAIDAqxzV2g4VcU,0.638,0.455,0.586,0,0.131,-7.978,0.0492,183.694,0.481,77,238241
356,Robin,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,19-04-2024,30,2CnjDMdpRjlWv04Xk3s6MW,spotify:track:2CnjDMdpRjlWv04Xk3s6MW,0.791,0.476,0.386,0.000423,0.1,-10.601,0.03,138.265,0.158,73,240893
357,The Manuscript,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,19-04-2024,31,1DTRUYVd8rYpla9hhVVwjo,spotify:track:1DTRUYVd8rYpla9hhVVwjo,0.901,0.509,0.256,2.43E-06,0.103,-11.665,0.0306,94.184,0.436,74,224743
